Lambda;MigraDivide
1;16.520703721891
1,1;14.2020415292042
1,2;13.5795851146668
1,3;12.72138541216
1,4;12.72138541216
1,5;11.9956620225737
1,6;11.9956620225737
1,7;11.9956620225737
1,8;11.9956620225737
1,9;11.9956620225737
2;11.9956620225737
2,1;11.9308857055934
2,2;11.9308857055934
2,3;11.9308857055934
2,4;11.9308857055934
2,5;11.9308857055934
2,6;11.9308857055934
2,7;11.9308857055934
2,8;11.9308857055934
2,9;11.9308857055934
